INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Northeastern University Oakland,Oakland,CA,94613,-2,1,-122.182294,37.781425
MiraCosta College,Oceanside,CA,92056-3899,3,4,-117.302606,33.190483
Mission College,Santa Clara,CA,95054-1897,3,3,-121.980783,37.391935
Modern Beauty Academy,Oxnard,CA,93030,-2,1,-119.181423,34.195384
Modesto Junior College,Modesto,CA,95350-5800,4,4,-121.009792,37.651056
Moler Barber College,Oakland,CA,94607,-2,1,-122.294723,37.805501
Middlebury Institute of International Studies at Monterey,Monterey,CA,93940,2,1,-121.897325,36.599736
Monterey Peninsula College,Monterey,CA,93940-4799,3,3,-121.884931,36.590558
Moorpark College,Moorpark,CA,93021-1695,4,4,-118.834528,34.301146
Mt San Antonio College,Walnut,CA,91789-1399,4,5,-117.846629,34.047764
Mount Saint Mary's University,Los Angeles,CA,90049-1599,2,2,-118.482879,34.085315
Mt San Jacinto Community College District,San Jacinto,CA,92583-2399,4,4,-116.971169,33.806748
Musicians Institute,Hollywood,CA,90028,2,1,-118.337582,34.101265
Napa Valley College,Napa,CA,94558-6236,3,2,-122.274381,38.274081
National Holistic Institute,Emeryville,CA,94608-2008,-2,2,-122.287672,37.841898
National University,San Diego,CA,92123,4,5,-117.127296,32.829299
Naval Postgraduate School,Monterey,CA,93943,2,2,-121.874248,36.597159
Newschool of Architecture and Design,San Diego,CA,92101,1,1,-117.153305,32.71331
North Adrian's College of Beauty Inc,Modesto,CA,95350-2381,-2,1,-120.992753,37.677778
North Orange County Community College District,Anaheim,CA,92801-1819,-2,-2,-117.945394,33.850118
North-West College-Pomona,Pomona,CA,91768,-2,1,-117.751227,34.062043
North-West College-West Covina,West Covina,CA,91790,2,1,-117.949583,34.072071
North-West College-Van Nuys,Van Nuys,CA,91411,-2,1,-118.450184,34.189497
San Francisco Bay University,Fremont,CA,94539,1,1,-121.927899,37.485056
Notre Dame de Namur University,Belmont,CA,94002-1908,1,1,-122.284794,37.517111
Occidental College,Los Angeles,CA,90041-3392,2,2,-118.210908,34.127124
Ohlone College,Fremont,CA,94539-0390,3,3,-121.911795,37.529931
Orange Coast College,Costa Mesa,CA,92626,4,4,-117.909086,33.66927
Otis College of Art and Design,Los Angeles,CA,90045-3505,2,2,-118.416615,33.956607
Oxnard College,Oxnard,CA,93033-6699,3,3,-119.157604,34.166104
Hope International University,Fullerton,CA,92831-3199,2,2,-117.88573,33.87616
Concorde Career College-San Diego,San Diego,CA,92113-1964,2,1,-117.102845,32.702814
Palo Alto University,Palo Alto,CA,94304-1337,2,2,-122.187437,37.382216
Pacific Oaks College,Pasadena,CA,91103,2,2,-118.151323,34.153382
Pacific School of Religion,Berkeley,CA,94709,1,1,-122.263155,37.87669
Pacific States University,Los Angeles,CA,90010-2263,1,1,-118.298408,34.061315
Pacific Union College,Angwin,CA,94508-9707,2,1,-122.440308,38.570585
University of the Pacific,Stockton,CA,95211-0197,3,3,-121.312301,37.981424
Palo Verde College,Blythe,CA,92225,3,2,-114.651698,33.661538
Palomar College,San Marcos,CA,92069-1487,4,4,-117.183978,33.149483
Pasadena City College,Pasadena,CA,91106-2003,4,5,-118.118196,34.144552
Pepperdine University,Malibu,CA,90263,3,3,-118.707077,34.037786
Peralta Community College System Office,Oakland,CA,94606,-2,-2,-122.260837,37.792667
Pitzer College,Claremont,CA,91711-6101,2,2,-117.706675,34.104107
Point Loma Nazarene University,San Diego,CA,92106-2899,3,2,-117.250265,32.718391
Pomona College,Claremont,CA,91711-4434,2,2,-117.714556,34.099027
Porterville College,Porterville,CA,93257,3,2,-119.014368,36.049256
Professional Institute of Beauty,El Monte,CA,91731,-2,1,-118.039028,34.075561
Santa Ana College,Santa Ana,CA,92706-3398,4,5,-117.887558,33.759309
RAND School of Public Policy,Santa Monica,CA,90401-3208,1,1,-118.490655,34.00973
Shasta School of Cosmetology,Redding,CA,96003,-2,1,-122.387248,40.597114
University of Redlands,Redlands,CA,92373-0999,3,2,-117.163218,34.064218
College of the Redwoods,Eureka,CA,95501-9300,3,2,-124.195293,40.698427
Salon Success Academy-Upland,Upland,CA,91786,-2,1,-117.631783,34.108247
Salon Success Academy-Corona,Corona,CA,92881,-2,1,-117.535638,33.847649
Rio Hondo College,Whittier,CA,90601-1616,4,4,-118.033506,34.019821
Riverside City College,Riverside,CA,92506,4,5,-117.384323,33.970918
Dongguk University Los Angeles,Los Angeles,CA,90020-1704,1,1,-118.289523,34.06597
Sacramento City College,Sacramento,CA,95822-1386,4,4,-121.491139,38.541096
Saddleback College,Mission Viejo,CA,92692-3635,4,5,-117.665584,33.553346
Samuel Merritt University,Oakland,CA,94609,2,2,-122.266331,37.82029
San Diego Community College District-District Office,San Diego,CA,92108,-2,-2,-117.120504,32.776275
San Diego City College,San Diego,CA,92101-4787,4,4,-117.152733,32.717403
San Diego Mesa College,San Diego,CA,92111-4998,4,4,-117.169165,32.803825
San Diego Miramar College,San Diego,CA,92126-2999,4,4,-117.120261,32.909757
San Diego State University,San Diego,CA,92182-0001,4,5,-117.071228,32.77525
University of San Diego,San Diego,CA,92110-2492,3,3,-117.192073,32.770816
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,1,1,-122.420292,37.775543
San Francisco State University,San Francisco,CA,94132,4,5,-122.476799,37.721224
University of San Francisco,San Francisco,CA,94117-1080,3,3,-122.450477,37.776618
San Joaquin College of Law,Clovis,CA,93612-1312,1,1,-119.697657,36.82448
San Joaquin Delta College,Stockton,CA,95207,4,5,-121.317597,37.995562
San Joaquin Valley College-Visalia,Visalia,CA,93291-9283,2,2,-119.384981,36.328049
San Joaquin Valley College-Bakersfield,Bakersfield,CA,93309-2659,2,1,-119.062071,35.352848
William Jessup University,Rocklin,CA,95765-3707,2,2,-121.292312,38.819728
San Jose-Evergreen Community College District,San Jose,CA,95113-1599,-2,-2,-121.89118,37.334851
San Jose City College,San Jose,CA,95128-2798,3,3,-121.926185,37.315827
San Jose State University,San Jose,CA,95192-0186,5,5,-121.880621,37.336569
San Mateo County Community College District Office,San Mateo,CA,94402,-2,-2,-122.337627,37.531305
College of San Mateo,San Mateo,CA,94402-3784,3,3,-122.334801,37.535698
Santa Barbara City College,Santa Barbara,CA,93109-2394,3,4,-119.698045,34.406788
Santa Clara University,Santa Clara,CA,95053,3,3,-121.93784,37.348362
Santa Monica College,Santa Monica,CA,90405-1628,4,5,-118.469765,34.017022
Santa Rosa Junior College,Santa Rosa,CA,95401-4395,4,4,-122.718974,38.45709
Saybrook University,Pasadena,CA,91103,2,2,-118.152155,34.153103
Scripps College,Claremont,CA,91711,2,2,-117.711294,34.104147
College of the Sequoias,Visalia,CA,93277-2214,3,4,-119.315182,36.323877
Shasta Bible College and Graduate School,Redding,CA,96002,1,1,-122.314419,40.566034
Shasta College,Redding,CA,96003,3,3,-122.317982,40.625731
Sierra College,Rocklin,CA,95677-3397,4,4,-121.211688,38.790773
Sierra College of Beauty,Merced,CA,95340,-2,1,-120.495874,37.306975
Trinity Law School,Santa Ana,CA,92705,2,1,-117.852059,33.766071
Simpson University,Redding,CA,96003-8606,2,1,-122.332981,40.61334
College of the Siskiyous,Weed,CA,96094-2899,2,2,-122.38909,41.413005
Charles A Jones Career and Education Center,Sacramento,CA,95824-1529,-2,1,-121.440796,38.516233
Skyline College,San Bruno,CA,94066-1698,3,3,-122.467335,37.63042
San Bernardino Valley College,San Bernardino,CA,92410-2798,3,4,-117.313248,34.086353
Saint Mary's College of California,Moraga,CA,94575,2,2,-122.109031,37.840731
Solano Community College,Fairfield,CA,94534-3197,3,3,-122.122368,38.235881
Sonoma State University,Rohnert Park,CA,94928-3609,3,3,-122.677066,38.340274
South Baylo University,Anaheim,CA,92801-1701,1,1,-117.958416,33.848291
South Coast College,Orange,CA,92868-2609,1,1,-117.874031,33.78818
Vanguard University of Southern California,Costa Mesa,CA,92626,2,2,-117.900911,33.662686
Concorde Career College-Garden Grove,Garden Grove,CA,92840-9201,2,1,-117.938395,33.774741
Southwestern College,Chula Vista,CA,91910-7299,4,5,-116.996803,32.640281
Starr King School for the Ministry,Oakland,CA,94612,1,1,-122.270721,37.803526
State Center Community College District,Fresno,CA,93721,-2,-2,-119.792324,36.735642
Marshall B Ketchum University,Fullerton,CA,92831-1699,2,1,-117.886229,33.889348
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,2,1,-118.232799,34.044215
University of Southern California,Los Angeles,CA,90089,5,5,-118.284169,34.021281
Southwestern Law School,Los Angeles,CA,90010-1106,2,2,-118.288375,34.061558
Taft College,Taft,CA,93268,3,2,-119.459751,35.149343
Claremont School of Theology,Los Angeles,CA,90024,1,1,-118.432495,34.064918
Thomas Aquinas College,Santa Paula,CA,93060,1,1,-119.087141,34.429009
Epic Bible College & Graduate School,Sacramento,CA,95841,1,1,-121.362642,38.645152
University of California-System Administration Central Office,Oakland,CA,94607-5200,-2,-2,-122.27134,37.802222
UEI College-Huntington Park,Huntington Park,CA,90255-2933,-2,2,-118.226206,33.986057
Concorde Career College-San Bernardino,San Bernardino,CA,92408-3403,2,1,-117.283995,34.066823
Concorde Career College-North Hollywood,North Hollywood,CA,91606-3134,2,1,-118.403627,34.186407
Ventura County Community College System Office,Camarillo,CA,93010,-2,-2,-119.057951,34.219073
Ventura College,Ventura,CA,93003-3872,3,4,-119.230604,34.277393
The Colleges of Law at Ventura,Ventura,CA,93003,1,1,-119.232988,34.25747
Bridges Beauty College,Victorville,CA,92395-3821,-2,1,-117.303933,34.528602
Victor Valley College,Victorville,CA,92395-5850,3,3,-117.261456,34.472231
Berkeley City College,Berkeley,CA,94704,3,3,-122.269877,37.869769
West Valley Mission Community College District Office,Saratoga,CA,95070-5698,-2,-2,-122.008324,37.26398
Walden University,Minneapolis,MN,55401,5,5,-93.265738,44.98125
Waynes College of Beauty,Salinas,CA,93906-2830,-2,1,-121.652672,36.700635
Coalinga College,Coalinga,CA,93210,3,2,-120.356747,36.147891
West Los Angeles College,Culver City,CA,90230-3519,3,3,-118.386664,34.004512
West Valley College,Saratoga,CA,95070,3,3,-122.008324,37.26398
Carrington College-Sacramento,Sacramento,CA,95826,2,2,-121.371383,38.556104
Westminster Theological Seminary in California,Escondido,CA,92027,1,1,-117.046371,33.121447
Westmont College,Santa Barbara,CA,93108-1089,2,2,-119.662517,34.450151
Whittier College,Whittier,CA,90601,2,1,-118.032299,33.978773
Woodbury University,Burbank,CA,91504-1052,2,1,-118.341147,34.208011
The Wright Institute,Berkeley,CA,94704-1796,2,1,-122.253168,37.868221
Thomas Jefferson School of Law,San Diego,CA,92101,1,1,-117.157862,32.717595
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,1,1,-118.346613,34.085465
Yosemite Community College District Office,Modesto,CA,95358,-2,-2,-121.038612,37.660935
Yuba College,Marysville,CA,95901,3,3,-121.53964,39.126536
Adams State University,Alamosa,CO,81101,2,2,-105.879642,37.473636
Aims Community College,Greeley,CO,80634,3,3,-104.763415,40.409559
Arapahoe Community College,Littleton,CO,80160-9002,3,4,-105.018631,39.607505
Bel-Rea Institute of Animal Technology,Denver,CO,80247,1,1,-104.876207,39.686194
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,4,5,-104.837722,39.745149
University of Colorado Colorado Springs,Colorado Springs,CO,80918,3,4,-104.800296,38.892735
Spartan College of Aeronautics and Technology,Broomfield,CO,80021-3465,1,1,-105.119096,39.914822
University of Colorado Boulder,Boulder,CO,80309-0017,5,5,-105.270823,40.008781
Colorado Christian University,Lakewood,CO,80226,3,3,-105.09456,39.71388
Colorado College,Colorado Springs,CO,80903,2,2,-104.822697,38.84886
Concorde Career College-Aurora,Aurora,CO,80010-4314,2,1,-104.867089,39.718699
Colorado Mountain College,Glenwood Springs,CO,81601-0233,3,3,-107.324441,39.54636
Colorado Northwestern Community College,Rangely,CO,81648-3598,2,2,-108.790048,40.081112
Colorado School of Mines,Golden,CO,80401,3,3,-105.223364,39.751443
Colorado School of Trades,Lakewood,CO,80215-2996,1,1,-105.104174,39.74181
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,4,5,-105.080732,40.574805
Colorado Technical University-Colorado Springs,Colorado Springs,CO,80907-3812,5,5,-104.85716,38.895069
Community College of Aurora,Aurora,CO,80011-9036,3,3,-104.802673,39.71788
Technical College of the Rockies,Delta,CO,81416,-2,1,-108.031072,38.702524
Community College of Denver,Denver,CO,80204-2026,3,3,-105.001044,39.741413
Lincoln College of Technology-Denver,Denver,CO,80239,2,2,-104.856171,39.77651
Denver Seminary,Littleton,CO,80120,2,1,-105.022363,39.600595
University of Denver,Denver,CO,80208,3,4,-104.963259,39.678005
Emily Griffith Technical College,Denver,CO,80203,-2,3,-104.985751,39.74575
Fort Lewis College,Durango,CO,81301-3999,2,2,-107.867422,37.275939
Front Range Community College,Westminster,CO,80031,4,5,-105.038068,39.901452
Iliff School of Theology,Denver,CO,80210-4798,1,1,-104.960657,39.675927
International Salon and Spa Academy,Colorado Springs,CO,80918-3684,-2,1,-104.786252,38.913621
Lamar Community College,Lamar,CO,81052-3999,2,1,-102.616144,38.068886
Colorado Mesa University,Grand Junction,CO,81501-3122,3,3,-108.553275,39.080643
Metropolitan State University of Denver,Denver,CO,80217-3362,4,4,-105.00504,39.744202
Morgan Community College,Fort  Morgan,CO,80701,2,2,-103.771822,40.258792
Naropa University,Boulder,CO,80302-6697,2,2,-105.266987,40.014235
Nazarene Bible College,Colorado Springs,CO,80909,2,1,-104.758064,38.862354
Northeastern Junior College,Sterling,CO,80751-2944,2,2,-103.197329,40.637215
University of Northern Colorado,Greeley,CO,80639,3,3,-104.692777,40.410855
Otero College,La Junta,CO,81050,2,1,-103.544874,37.969984
Pikes Peak State College,Colorado Springs,CO,80906-5498,3,4,-104.787261,38.764287
Pueblo Community College,Pueblo,CO,81004-1499,3,3,-104.636258,38.262124
Red Rocks Community College,Lakewood,CO,80228-1255,3,3,-105.150094,39.720277
Regis University,Denver,CO,80221-1099,3,2,-105.030756,39.788175
Rocky Mountain College of Art and Design,Lakewood,CO,80214,2,2,-105.069911,39.74332
Montessori Education Center of the Rockies,Denver,CO,80205,-2,1,-104.943415,39.762942
Colorado State University Pueblo,Pueblo,CO,81001-4901,3,3,-104.579033,38.30859
Pickens Technical College,Aurora,CO,80011-9307,-2,2,-104.789683,39.723705
Intellitec College-Colorado Springs,Colorado Springs,CO,80909-6096,2,1,-104.78721,38.832183
Intellitec College-Grand Junction,Grand Junction,CO,81506,2,2,-108.53062,39.116346
Trinidad State College,Trinidad,CO,81082,2,2,-104.513451,37.172059
University of Colorado System Office,Denver,CO,80203-1187,-2,-2,-104.983277,39.74521
United States Air Force Academy,USAF Academy,CO,80840-5002,3,2,-104.891358,39.010957
Empire Beauty School-Thornton,Thornton,CO,80233,-2,1,-104.94357,39.915253
Western Colorado University,Gunnison,CO,81231,3,2,-106.919132,38.549936
Albertus Magnus College,New Haven,CT,06511-1189,2,2,-72.923848,41.332519
Bais Binyomin Academy,Monsey,NY,10952,-2,1,-74.078802,41.123013
University of Bridgeport,Bridgeport,CT,06604-5620,3,2,-73.190166,41.164741
Central Connecticut State University,New Britain,CT,6050,3,3,-72.765991,41.692502
Charter Oak State College,New Britain,CT,6051,2,2,-72.781239,41.666848
Cortiva Institute,Cromwell,CT,6416,-2,1,-72.678562,41.604041
Connecticut College,New London,CT,06320-4196,2,2,-72.107321,41.379833
Porter & Chester Institute of Hamden,Hamden,CT,6514,-2,1,-72.931908,41.346568
University of Connecticut,Storrs,CT,6269,4,5,-72.249948,41.809098
Goodwin University,East Hartford,CT,6118,3,2,-72.64032,41.742977
Lincoln Technical Institute-East Windsor,East Windsor,CT,6088,-2,2,-72.596915,41.924248
Eastern Connecticut State University,Willimantic,CT,6226,3,2,-72.218753,41.721673
Fairfield University,Fairfield,CT,06824-5195,3,3,-73.255903,41.157673
Paul Mitchell the School-North Haven,North Haven,CT,6473,-2,1,-72.85745,41.394495
Connecticut State Community College,New Britain,CT,6051,4,5,-72.672734,41.768397
Rensselaer at Hartford,Hartford,CT,6120,1,-2,-72.673916,41.773462
American Institute-West Hartford,West Hartford,CT,06110-1922,-2,1,-72.725762,41.727016
Hartford International University for Religion and Peace,Hartford,CT,06105-2260,1,1,-72.707766,41.769861
University of Hartford,West Hartford,CT,06117-1599,3,3,-72.715213,41.798591
Holy Apostles College and Seminary,Cromwell,CT,06416-2005,2,1,-72.647853,41.60682
Mitchell College,New London,CT,6320,2,1,-72.09523,41.328013
Lincoln Technical Institute-New Britain,New Britain,CT,6051,-2,1,-72.754498,41.659236
New England Tractor Trailer Training School of Connecticut,Somers,CT,6071,-2,1,-72.450218,41.979699
University of New Haven,West Haven,CT,06516-1916,3,3,-72.961472,41.291314
Paier College,Bridgeport,CT,6606,1,-1,-73.194727,41.163451
Porter & Chester Institute,Bridgeport,CT,6610,-2,2,-73.187731,41.200813
Post University,Waterbury,CT,6723,4,4,-73.081497,41.535549
Quinnipiac University,Hamden,CT,6518,3,3,-72.894117,41.418915
Sacred Heart University,Fairfield,CT,06825-1000,3,4,-73.243332,41.220893
University of Saint Joseph,West Hartford,CT,6117,2,2,-72.72965,41.781041
Southern Connecticut State University,New Haven,CT,06515-1355,3,3,-72.947897,41.333225
Trinity College,Hartford,CT,06106-3100,2,2,-72.690882,41.747451
United States Coast Guard Academy,New London,CT,6320,2,2,-72.101583,41.375823
Wesleyan University,Middletown,CT,6459,2,2,-72.657146,41.554665
